Company Name,Founding Year,AI Category,Use Case / Product Description,Total Funding Raised (USD),Valuation (USD),ARR (USD),Customer ROI Claim,Pricing Model,Data Source,Last Updated (MM/YYYY),Notes,YCBacked,Growth Rate / Velocity,Latest Funding Round
AI21 Labs,2017,LLM,Israeli startup with Jurassic-2 models,$636M,$1.4B,$57.8M ARR,,API + Enterprise,https://tracxn.com/d/companies/ai21-labs/,12/2025,,No,,"Series C, $336M, 08/2023, Led by Walden Catalyst"
Figure AI,2022,Humanoid Robotics,General-purpose humanoid robots,$1.9B+,$39B (Sep 2025),,,Hardware + Software,https://www.figure.ai/news/series-c,02/2026,"Figure 02 deployed at BMW Spartanburg plant. Figure 03 unveiled Oct 2025. Robot-as-a-Service ~$1K/month/robot. Helix AI (in-house, post-OpenAI partnership).",No,2 years to $1B+ revenue,"Series C, $1B+, 09/2025, Led by Parkway Venture Capital"
Inflection AI,2022,LLM,Company behind Pi chatbot,$1.525B,$4B,,,API,https://sacra.com/c/inflection-ai/,02/2026,,No,,"Series A, $225M, 05/2022, Led by Greylock, Reid Hoffman"
Runway,2018,Generative AI,AI video generation platform,$860M+,$5.3B,$300M ARR,,Subscription,https://techcrunch.com/2026/02/10/ai-video-startup-runway-raises-315m-at-5-3b-valuation/,02/2026,"Released first world model Dec 2025. Focus shifting from video generation to world models for medicine, climate, energy, robotics.",No,3x growth (2024-2025),"Series E, $315M, 02/2026, Led by General Atlantic"
Synthesia,2017,Generative AI,AI video generation with avatars,$137M,$1B,,Video content in minutes vs weeks/days; 100+ training videos in <6 months,Freemium + Enterprise,https://tracxn.com/d/companies/synthesia/,12/2025,,No,,"Series C, $137M, 01/2024, Led by Idinvest Partners"
Pika Labs,2023,Generative AI,AI video generation,$80M+,$470M,,,Subscription,https://tracxn.com/d/companies/pika-labs/,12/2025,,No,,"Series A+, $80M, 12/2024, Led by Lightspeed"
HeyGen,2020,Generative AI,AI video with avatars,$100M+,$500M,,,Freemium + Enterprise,https://tracxn.com/d/companies/heygen/,12/2025,,No,,"Series A, $100M+, 11/2024, Led by IDG Capital"
Devin (Cognition Labs),2023,AI Coding,Autonomous AI software engineer,$200M+,$2B,,,Enterprise,https://tracxn.com/d/companies/cognition-labs/,12/2025,,No,,"Series A, $200M+, 05/2024, Led by Founders Fund"
Imbue,2023,AI Agents,General-purpose reasoning agents,$200M+,$1B,,,Research + Enterprise,https://tracxn.com/d/companies/imbue/,12/2025,,No,,"Series B, $200M+, 08/2024, Led by General Catalyst"
Pinecone,2019,ML Infrastructure,Vector database for AI,$138M,$750M,,Millions of queries/sec at ultra-low latency; scale to billions of vectors,Freemium + Enterprise,https://tracxn.com/d/companies/pinecone/,12/2025,,No,,"Series C, $138M, 02/2024, Led by Andreessen Horowitz"
Qdrant,2021,ML Infrastructure,Open-source vector search,$37M+,,,,Open-source + Cloud,https://tracxn.com/d/companies/qdrant/,12/2025,,No,,"Seed, $37M, 10/2024, Led by 42 CAPTCHA"
Databricks,2013,Data & AI Platform,Unified analytics and AI platform,$20B+,$134B (Feb 2026),$5.4B ARR,"482% ROI over 3 years, 4-month payback (Nucleus Research)",Cloud + Enterprise,https://sacra.com/c/databricks/,02/2026,>65% YoY growth. Positive free cash flow. 20K+ orgs incl. 60% Fortune 500. IPO candidate 2026. Lakebase + Genie products.,No,65% YoY (Q4 FY2026),"Series L (extended), $5B equity + $2B debt, 02/2026, Led by JPMorgan, Insight Partners, Fidelity"
Aleph Alpha,2019,LLM,German LLM for enterprise,$500M+,$5B,,,API + Enterprise,https://tracxn.com/d/companies/aleph-alpha/,12/2025,,No,,"Series C, $500M+, 11/2023, Led by Schwarz Group"
Higgsfield AI,2020,Generative AI (Video),AI video generation platform - transforms text/images into cinematic short-form videos,$188M,$1.3B,$200M ARR,2M+ customers,Freemium + Enterprise,https://sacra.com/c/higgsfield/,02/2026,Kazakhstan's first unicorn,No,9 months to $200M ARR,"Series A, $188M, 09/2025, Led by Andreessen Horowitz"
Scribe,2020,AI Workflow,AI platform that documents workflows and generates step-by-step guides for enterprises,$130M,$1.3B (Nov 2025),,Thousands of enterprises,Enterprise,https://techcrunch.com/2025/11/10/scribe-hits-1-3b-valuation/,11/2025,,No,18 months to unicorn,"Series C, $75M, 11/2025, Led by StepStone"
Resolve AI,2024,AI SRE,Autonomous site reliability engineering - AI-powered incident remediation,$95M,$1B (Dec 2025),,,Enterprise,https://techcrunch.com/2025/12/19/ex-splunk-execs-startup-resolve-ai-hits-1-billion-valuation/,12/2025,,No,,"Series A, $35M+, 12/2024, Led by Greylock"
Aaru,2024,AI Market Research,AI synthetic research - simulates human behavior for instant market research,$50M+,$1B (Dec 2025),,,Enterprise,https://techcrunch.com/2025/12/05/ai-synthetic-research-startup-aaru-raised-a-series-a/,12/2025,,No,,"Series A, $50M+, 12/2024, Led by Redpoint Ventures"
Julius AI,2023,AI Data Analytics,AI-powered data analyst - natural language queries for data analysis,$10M,,,,Freemium + Pro,https://techcrunch.com/2025/07/28/ai-data-analyst-startup-julius-nabs-10m-seed-round/,07/2025,,Yes,,"Seed, $10M, 07/2025, Led by Y Combinator"
